Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Disc.offal,PelDetFate,BenthDetFate,F_Trawl,F_Codpot,F_Longline,F_Halibut,F_Crabpot,F_Salmon,F_Herring,F_Indigenous,F_Subsistence,Disc_Trawl,Disc_Codpot,Disc_Longline,Disc_Halibut,Disc_Crabpot,Disc_Salmon,Disc_Herring,Disc_Indigenous,Disc_Subsistence
transient_killers,0,0.000282362,0.02542091,4.1,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toothed_whales,0,0.02918474,0.05813792,11.76325,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0.0000234,0,4.91E-06,0,1.33E-06,0,0,0,0,2.34E-08,0
gray_whales,0,0.04337785,0.063365,7.9,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baleen_whales,0,0.3210891,0.03055975,4.206948,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0.00000017,0,1.77E-05,0,0,0,0,0,0,2.00E-10,0
pinnipeds,0,0.02585705,0.08771439,24.83315,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,5.92E-05,0,0.00000473,3.06E-08,2.50E-07,0,0,0,0,5.92E-08,0
walrus_bd_seals,0,0.05831028,0.051293,21.6,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0.0000287,0,5.50E-06,0,0,0,0,0,0,2.87E-08,0
nf_seal_juv,0,0.000268455,0.2519075,104.5098,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nf_seal_adu,0,0.01043294,0.091245,48.7,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0.0000342,0,1.14E-07,0,0,0,0,0,0,3.42E-08,0
ice_seals,0,0.02712574,0.068998,22.2,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0.0000294,0,2.42E-07,0,2.18E-08,0,0,0,0,2.94E-08,0
oth_birds,0,0.000656459,0.1239672,73.18927,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,9.06E-08,4.60E-09,2.27E-06,0,0,0,0,0,0
murres_puffins,0,0.008617981,0.1623509,72.05511,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,1.19E-06,0.00000006,2.98E-05,0,0,0,0,0,0
kittiwakes,0,0.000662705,0.07688104,110,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,9.13E-08,4.60E-09,2.29E-06,0,0,0,0,0,0
auklets,0,0.001754495,0.1694877,110,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,2.42E-07,1.22E-08,6.07E-06,0,0,0,0,0,0
fulmars,0,0.000520162,0.055,73,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,7.15E-08,3.60E-09,1.80E-06,0,0,0,0,0,0
albatross,0,0.0001,0.06756634,75,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,1.39E-08,7.00E-10,3.46E-07,0,0,0,0,0,0
